# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       34.953      543.047
       0.012        0.000       35.383      545.297
       0.024        0.000       35.895      545.297
       0.036        0.000       35.895      545.297
       0.047        0.000       36.230      545.359
       0.059        0.000       37.973      546.352
       0.070        0.000       38.125      546.352
       0.082        0.000       39.039      547.207
       0.094        0.000       39.246      547.207
       0.106        0.000       40.117      552.457
       0.117        0.000       41.289      552.766
       0.129        0.000       41.465      553.098
       0.141        0.000       42.152      552.918
       0.153        0.000       43.004      553.004
       0.165        0.000       44.234      553.453
       0.177        0.000       45.250      554.500
       0.191        0.000       46.590      554.926
       0.206        0.000       48.234      555.320
       0.218        0.000       48.289      555.473
       0.231        0.000       49.910      557.672
       0.243        0.000       50.164      557.672
       0.255        0.000       50.164      557.672
       0.267        0.000       50.414      557.672
       0.279        0.000       50.664      557.672
       0.291        0.000       52.664      845.688
       0.305        0.000       53.137      854.035
       0.318        0.000       53.406      854.035
       0.331        0.000       54.277      854.035
       0.346        0.000      177.367     2995.984
       0.396        0.000      335.281     5159.938
       0.500        0.000      340.074     4651.879
       0.655        0.000       95.559     1395.762
       0.728        0.000       55.840      854.035
       0.753        0.000        1.816        6.688
