# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       36.547      550.836
       0.011        0.000       38.074      551.605
       0.022        0.000       39.355      552.355
       0.033        0.000       39.797      552.418
       0.044        0.000       41.789      553.445
       0.056        0.000       42.176      553.383
       0.067        0.000       42.934      558.562
       0.078        0.000       43.961      559.113
       0.089        0.000       44.297      558.832
       0.101        0.000       46.359      559.875
       0.112        0.000       47.445      560.031
       0.129        0.000       48.469      560.031
       0.141        0.000       50.273      561.281
       0.153        0.000       50.543      561.281
       0.165        0.000       50.672      561.281
       0.177        0.000       50.863      561.531
       0.189        0.000       51.855      562.531
       0.201        0.000       52.102      562.531
       0.213        0.000       54.000      571.531
       0.229        0.000       54.211      571.531
       0.241        0.000       54.438      571.781
       0.253        0.000       54.438      571.781
       0.265        0.000       55.719      572.031
       0.276        0.000       60.449      605.422
       0.290        0.000       63.559      615.328
       0.311        0.000       63.895      615.656
       0.329        0.000       63.109      607.793
       0.348        0.000       69.367      610.590
       0.372        0.000       72.461      611.535
       0.392        0.000       73.273      627.312
       0.412        0.000      201.086     2781.043
       0.456        0.000       73.609      627.562
       0.496        0.000       74.656      627.562
       0.534        0.000       84.801      627.562
       0.572        0.000       88.102      628.062
       0.613        0.000      103.777      634.312
       0.655        0.000      105.789      641.312
       0.696        0.000      118.660      654.812
       0.738        0.000      109.309      644.090
       0.781        0.000      109.918      644.699
       0.821        0.000      245.934     2805.531
       0.866        0.000      263.168     2815.352
       0.928        0.000      275.449     2829.543
       0.997        0.000      296.465     2858.094
       1.061        0.000      307.797     2872.594
       1.103        0.000      317.777     2893.395
       1.145        0.000      326.027     2895.723
       1.185        0.000      343.070     2901.289
       1.227        0.000      352.266     2904.293
       1.276        0.000      360.137     2923.527
       1.323        0.000      364.062     2925.922
       1.371        0.000      369.098     2928.656
       1.419        0.000      379.980     2982.391
       1.469        0.000      391.000     2985.602
       1.515        0.000      405.164     2990.117
       1.564        0.000      418.750     2994.480
       1.606        0.000      433.141     3002.117
       1.658        0.000      442.324     3004.199
       1.702        0.000      454.434     3005.703
       1.745        0.000      469.148     3011.707
       1.789        0.000      483.324     3022.461
       1.839        0.000      488.906     3023.461
       1.883        0.000      498.453     3032.715
       1.948        0.000      506.230     3040.113
       2.019        0.000      511.500     3044.730
       2.076        0.000      519.734     3052.898
       2.146        0.000      529.164     3063.145
       2.216        0.000      543.535     3076.773
       2.281        0.000      549.840     3082.887
       2.343        0.000      551.566     3083.387
       2.398        0.000      554.629     3086.383
       2.457        0.000      555.227     3086.883
       2.500        0.000      555.531     3087.758
       2.548        0.000      556.023     3087.758
       2.588        0.000      556.266     3087.758
       2.626        0.000      556.266     3087.758
       2.664        0.000      389.656     3047.098
       2.702        0.000      102.656      644.867
       2.717        0.000        2.043        9.512
