# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       35.164      542.785
       0.011        0.000       35.664      545.285
       0.021        0.000       37.059      545.785
       0.031        0.000       37.871      545.828
       0.041        0.000       39.293      546.766
       0.052        0.000       39.793      546.766
       0.062        0.000       40.898      548.020
       0.072        0.000       41.230      548.020
       0.083        0.000       41.738      553.273
       0.093        0.000       43.000      554.043
       0.104        0.000       43.562      554.043
       0.114        0.000       44.832      554.043
       0.125        0.000       45.859      554.043
       0.135        0.000       46.391      554.195
       0.145        0.000       46.707      554.195
       0.155        0.000       47.574      554.195
       0.166        0.000       48.902      554.500
       0.179        0.000       50.027      555.758
       0.191        0.000       50.500      555.969
       0.203        0.000       51.402      557.359
       0.216        0.000       51.707      557.359
       0.226        0.000       51.867      557.359
       0.239        0.000       52.344      557.859
       0.252        0.000       53.484      567.430
       0.266        0.000       57.023      578.020
       0.285        0.000       57.207      578.133
       0.303        0.000       56.609      600.957
       0.321        0.000      113.473     1668.723
       0.364        0.000       93.672     1138.398
       0.465        0.000       70.898      602.844
       0.528        0.000       75.992      624.320
       0.591        0.000       77.418      624.723
       0.649        0.000       82.480      626.297
       0.713        0.000       88.559      627.816
       0.765        0.000       93.824      630.645
       0.818        0.000       98.379      634.520
       0.877        0.000       98.379      634.520
       0.928        0.000       99.012      634.520
       0.984        0.000      101.082      635.520
       1.041        0.000      101.125      635.520
       1.097        0.000      105.223      636.020
       1.150        0.000      110.594      641.273
       1.205        0.000      116.035      646.219
       1.261        0.000      123.441      654.293
       1.317        0.000      128.527      657.789
       1.373        0.000      128.527      657.789
       1.431        0.000      129.137      657.789
       1.485        0.000      129.137      657.789
       1.535        0.000      129.652      657.789
       1.584        0.000      129.652      657.789
       1.636        0.000      129.652      657.789
       1.685        0.000      129.652      657.789
       1.734        0.000      129.652      657.789
       1.784        0.000      129.652      657.789
       1.835        0.000      129.652      657.789
       1.885        0.000      129.652      658.289
       1.937        0.000      130.605      659.789
       1.990        0.000      131.371      660.289
       2.041        0.000      132.656      661.539
       2.094        0.000      133.418      662.789
       2.151        0.000      134.707      664.039
       2.210        0.000      135.219      664.039
       2.268        0.000      136.504      665.539
       2.323        0.000      137.535      666.539
       2.379        0.000      138.566      667.289
       2.436        0.000      139.340      668.289
       2.488        0.000      140.629      669.289
       2.542        0.000      141.660      670.789
       2.590        0.000      142.691      671.789
       2.638        0.000      143.465      672.039
       2.684        0.000      144.492      673.789
       2.733        0.000      145.523      674.789
       2.779        0.000      147.070      675.789
       2.824        0.000      147.328      676.289
       2.870        0.000      148.359      677.539
       2.916        0.000      149.906      679.039
       2.962        0.000      150.930      679.539
       3.012        0.000      151.277      679.539
