# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       36.512      551.090
       0.011        0.000       38.039      551.605
       0.021        0.000       39.062      552.105
       0.031        0.000       39.605      552.152
       0.042        0.000       41.602      553.508
       0.052        0.000       41.934      553.695
       0.063        0.000       42.730      558.266
       0.073        0.000       43.754      558.816
       0.084        0.000       44.453      558.816
       0.094        0.000       45.742      558.816
       0.105        0.000       46.316      559.965
       0.116        0.000       47.078      559.965
       0.126        0.000       49.656      560.996
       0.137        0.000       51.520      561.516
       0.148        0.000       51.777      561.516
       0.160        0.000       51.918      561.516
       0.171        0.000       52.082      561.766
       0.181        0.000       52.992      563.016
       0.192        0.000       53.207      563.016
       0.203        0.000       54.191      572.266
       0.214        0.000       54.402      572.266
       0.225        0.000       54.609      572.266
       0.236        0.000       54.844      572.266
       0.247        0.000       56.113      572.516
       0.257        0.000       61.066      605.254
       0.269        0.000       64.359      615.684
       0.288        0.000       64.500      615.895
       0.305        0.000       62.559      607.188
       0.322        0.000       67.996      610.836
       0.341        0.000       70.949      612.016
       0.362        0.000       73.922      628.461
       0.380        0.000       74.160      628.711
       0.398        0.000      204.109     2790.195
       0.454        0.000       78.246      629.969
       0.512        0.000       84.156      629.969
       0.546        0.000       85.312      629.238
       0.582        0.000       92.750      629.488
       0.618        0.000       95.629      633.988
       0.655        0.000      103.016      642.238
       0.691        0.000      115.625      654.488
       0.728        0.000      124.008      661.738
       0.764        0.000      107.684      645.266
       0.800        0.000      108.195      645.977
       0.836        0.000      108.395      645.977
       0.875        0.000      253.309     2813.637
       0.933        0.000      265.520     2815.594
       0.983        0.000      271.777     2829.273
       1.036        0.000      285.938     2844.633
       1.104        0.000      307.113     2854.953
       1.166        0.000      323.816     2895.508
       1.229        0.000      340.453     2905.578
       1.298        0.000      342.180     2907.000
       1.364        0.000      363.906     2959.320
       1.434        0.000      380.418     2985.148
       1.505        0.000      400.809     2990.914
       1.575        0.000      422.012     2999.707
       1.641        0.000      438.551     3004.098
       1.706        0.000      451.465     3007.016
       1.750        0.000      462.023     3008.836
       1.795        0.000      478.262     3020.465
       1.842        0.000      481.391     3021.715
       1.885        0.000      485.133     3023.410
       1.927        0.000      497.234     3033.039
       1.979        0.000      509.309     3044.508
       2.036        0.000      514.309     3048.605
       2.110        0.000      524.840     3058.988
