# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       37.938      551.129
       0.011        0.000       39.750      551.594
       0.021        0.000       41.031      552.094
       0.032        0.000       41.289      552.125
       0.042        0.000       42.746      553.105
       0.053        0.000       43.750      553.430
       0.064        0.000       43.996      553.480
       0.075        0.000       45.195      558.531
       0.086        0.000       45.984      558.785
       0.096        0.000       47.273      558.785
       0.107        0.000       49.254      560.203
       0.118        0.000       49.402      560.078
       0.129        0.000       50.676      560.078
       0.140        0.000       52.223      561.328
       0.151        0.000       52.902      561.328
       0.163        0.000       53.043      561.328
       0.174        0.000       53.227      561.328
       0.184        0.000       54.281      562.828
       0.195        0.000       54.461      562.828
       0.206        0.000       54.680      562.828
       0.217        0.000       55.512      572.078
       0.228        0.000       55.719      572.078
       0.240        0.000       55.934      572.078
       0.250        0.000       56.188      572.078
       0.261        0.000       57.449      572.328
       0.272        0.000       58.605      604.594
       0.284        0.000       61.910      614.844
       0.302        0.000       59.117      605.406
       0.318        0.000       86.449     1141.352
       0.344        0.000       59.395      605.656
       0.395        0.000       60.902      605.656
       0.428        0.000      192.762     2762.871
       0.466        0.000      201.199     2767.109
       0.502        0.000      203.297     2773.297
       0.535        0.000      208.168     2779.762
       0.574        0.000      213.727     2782.320
       0.607        0.000      218.133     2784.711
       0.641        0.000      221.418     2795.219
       0.676        0.000      224.730     2805.469
       0.709        0.000      233.566     2807.262
       0.746        0.000      237.297     2808.695
       0.782        0.000      245.930     2813.938
       0.819        0.000      247.633     2813.938
       0.865        0.000      249.758     2815.414
       0.898        0.000      251.359     2833.301
       0.932        0.000      254.488     2834.035
       0.964        0.000      273.523     2854.535
       1.001        0.000      278.109     2855.035
       1.035        0.000       61.492      605.656
       1.073        0.000       61.492      605.656
       1.084        0.000       61.492      605.656
       1.094        0.000       61.492      605.656
       1.104        0.000       61.492      605.656
       1.115        0.000       61.492      605.656
       1.125        0.000       61.492      605.656
       1.135        0.000       61.492      605.656
       1.146        0.000       61.492      605.656
       1.156        0.000        1.895        9.512
