# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       35.188      543.121
       0.010        0.000       35.492      545.371
       0.018        0.000       36.312      545.391
       0.027        0.000       36.312      545.391
       0.034        0.000       36.312      545.391
       0.042        0.000       37.082      545.832
       0.050        0.000       38.113      546.055
       0.059        0.000       38.672      546.055
       0.067        0.000       40.406      546.914
       0.075        0.000       41.867      548.168
       0.084        0.000       42.074      550.168
       0.092        0.000       42.797      553.422
       0.101        0.000       42.797      553.422
       0.109        0.000       43.660      553.422
       0.118        0.000       44.320      553.422
       0.126        0.000       45.082      553.672
       0.134        0.000       46.086      553.672
       0.143        0.000       46.848      554.922
       0.151        0.000       47.355      554.922
       0.160        0.000       48.188      554.922
       0.168        0.000       49.215      554.922
       0.176        0.000       51.508      557.344
       0.185        0.000       51.715      557.250
       0.194        0.000       52.004      557.250
       0.202        0.000       52.180      557.250
       0.211        0.000       54.676      854.387
       0.221        0.000       54.852      854.387
       0.230        0.000       81.266     1259.297
       0.243        0.000       84.305     1387.746
       0.256        0.000       86.152     1389.438
       0.269        0.000       90.297     1390.863
       0.283        0.000       90.547     1393.113
       0.296        0.000       91.863     1393.410
       0.309        0.000       92.691     1393.691
       0.323        0.000       94.836     1394.012
       0.336        0.000       96.883     1395.594
       0.350        0.000       97.004     1396.125
       0.363        0.000       97.410     1396.125
       0.377        0.000       99.910     1402.121
       0.391        0.000      105.582     1404.180
       0.404        0.000      111.496     1414.660
       0.419        0.000      121.027     1436.160
       0.433        0.000      121.906     1438.750
       0.448        0.000      125.059     1439.242
       0.462        0.000      135.832     1439.328
       0.476        0.000      150.285     1449.695
       0.491        0.000      153.891     1453.844
       0.505        0.000      160.594     1460.094
       0.519        0.000      166.402     1465.344
       0.534        0.000      166.660     1465.594
       0.548        0.000      165.785     1469.137
       0.563        0.000      168.684     1470.438
       0.577        0.000      176.227     1476.141
       0.596        0.000      180.910     1477.805
       0.611        0.000      189.520     1484.086
       0.626        0.000      191.367     1486.391
       0.640        0.000      197.809     1492.824
       0.655        0.000      200.129     1494.762
       0.669        0.000      207.348     1502.414
       0.683        0.000      209.531     1504.277
       0.697        0.000      215.719     1510.824
       0.712        0.000      218.555     1513.277
       0.726        0.000      224.742     1519.816
       0.740        0.000      228.609     1522.902
       0.755        0.000      234.281     1528.566
       0.769        0.000      234.371     1529.328
       0.783        0.000      235.914     1530.512
       0.798        0.000      235.914     1530.871
       0.811        0.000      210.934     1504.633
       0.826        0.000      211.965     1505.938
       0.840        0.000      215.000     1509.188
       0.855        0.000      216.031     1510.438
       0.870        0.000      221.703     1516.359
       0.884        0.000      224.023     1518.812
       0.896        0.000      230.727     1524.984
       0.910        0.000      231.758     1525.629
       0.923        0.000      232.531     1526.895
       0.938        0.000      231.438     1530.109
       0.953        0.000      234.016     1532.559
       0.965        0.000      235.820     1533.848
       0.979        0.000      242.523     1536.039
       0.992        0.000      244.328     1538.707
       1.006        0.000      250.766     1544.762
       1.020        0.000      253.086     1546.953
       1.033        0.000      258.758     1553.250
       1.048        0.000      261.594     1555.570
       1.061        0.000      266.492     1560.336
       1.076        0.000      269.523     1562.734
       1.092        0.000      284.445     1577.484
       1.111        0.000      291.922     1584.648
       1.131        0.000      300.172     1592.398
       1.154        0.000      300.305     1592.148
