# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       36.273      545.816
       0.012        0.000       37.207      545.816
       0.023        0.000       39.277      546.773
       0.035        0.000       39.121      546.430
       0.047        0.000       40.496      547.508
       0.058        0.000       41.219      547.824
       0.070        0.000       42.969      553.719
       0.081        0.000       44.734      554.031
       0.093        0.000       46.000      554.031
       0.104        0.000       46.520      554.523
       0.116        0.000       47.145      554.395
       0.128        0.000       48.098      554.395
       0.139        0.000       50.496      555.984
       0.151        0.000       50.867      556.094
       0.163        0.000       51.258      556.094
       0.174        0.000       52.508      557.594
       0.186        0.000       52.652      557.594
       0.197        0.000       53.129      557.844
       0.208        0.000       57.457      578.559
       0.233        0.000       57.934      578.922
       0.252        0.000       57.496      601.738
       0.270        0.000       85.691     1136.301
       0.298        0.000       57.750      601.840
       0.334        0.000       65.262      604.098
       0.370        0.000       70.555      601.777
       0.408        0.000      204.223     2751.621
       0.449        0.000      220.836     2760.762
       0.492        0.000      231.152     2764.336
       0.538        0.000      239.477     2787.613
       0.585        0.000      255.875     2794.969
       0.642        0.000      266.941     2809.367
       0.682        0.000      275.496     2837.996
       0.736        0.000      296.773     2842.465
       0.803        0.000      308.406     2848.551
       0.870        0.000      322.684     2872.105
       0.934        0.000      331.344     2875.445
       0.977        0.000      335.637     2876.492
       1.019        0.000      338.320     2894.605
       1.061        0.000      359.797     2933.559
       1.110        0.000      383.277     2939.059
       1.175        0.000      415.562     2955.938
       1.238        0.000      443.445     2976.500
       1.304        0.000      456.914     2984.500
       1.372        0.000      460.523     2987.750
       1.434        0.000      464.602     2992.000
       1.481        0.000      472.027     2999.793
       1.541        0.000      481.852     3009.980
       1.608        0.000      487.703     3013.199
       1.667        0.000      493.145     3019.777
       1.715        0.000      498.145     3023.531
       1.763        0.000      503.086     3028.781
       1.808        0.000      504.809     3031.035
       1.856        0.000      505.227     3030.543
       1.922        0.000      505.980     3030.543
       1.988        0.000      505.660     3030.543
       2.051        0.000      505.660     3030.543
       2.086        0.000       71.781      602.027
       2.120        0.000       71.781      602.027
       2.131        0.000       71.781      602.027
       2.142        0.000       71.781      602.027
       2.154        0.000       71.781      602.027
       2.166        0.000        1.746        6.688
