N,ava,jest
1,1.00000000000000000000,2.00000000000000000000
2,.50000000000000000000,1.50000000000000000000
4,.25000000000000000000,.75000000000000000000
8,.25000000000000000000,.37500000000000000000
16,.12500000000000000000,.25000000000000000000
32,.06250000000000000000,.12500000000000000000
64,.07812500000000000000,.06250000000000000000
128,.06250000000000000000,.04687500000000000000
256,.05468750000000000000,.03125000000000000000
512,.05468750000000000000,.02734375000000000000
1024,.05761718750000000000,.02246093750000000000
